sequence,method,clahe,config,failures,metric_m,metric_type
room2,mono,ON,production,5,1.2055,ATE
room2,mono,OFF,ablation,42,1.1996,ATE
room2,stereo,ON,production,3,0.4362,ATE
room2,stereo,OFF,ablation,18,0.7882,ATE
corridor3,mono,ON,production,12,11.4643,drift
corridor3,mono,OFF,ablation,221,13.7129,drift
corridor3,stereo,ON,production,14,5.7454,drift
corridor3,stereo,OFF,ablation,83,11.2817,drift
outdoors5,mono,ON,production,2,15.9043,drift
outdoors5,mono,OFF,ablation,74,24.2582,drift
outdoors5,stereo,OFF,production,12,32.5106,drift
outdoors5,stereo,ON,ablation,13,201.0831,drift
